Clase,Intervalo,Marcas clase,Frecuencia,Frecuencia Relativa,Frecuencia Acumulada,Frecuencia Relativa Acumulada
1,149.75 - 154.25,152,7,0.16,7,0.16
2,154-25 - 158.75,156.5,2,0.04,9,0.2
3,158.75 - 163.25,161,12,0.27,21,0.47
4,163.25 - 167.75,165.5,7,0.16,28,0.62
5,167.75 - 172.25,170,5,0.11,33,0.73
6,172.25 - 176.75,174.5,6,0.13,39,0.87
7,176.75 - 181.25,179,6,0.13,45,1
