Tiempo,Sede,Oro,Plata,Bronce,Total
1968,Mexico,3,3,3,9
1972,Munich,0,1,0,1
1976,Montreal,1,0,1,2
1980,Moscu,0,1,3,4
1984,Los angeles,0,2,2,4
1988,Seul,0,0,2,2
1992,Barcelona,0,1,0,1
1996,Atlanta,0,0,1,1
2000,Sidney,1,2,3,6
